variable,Aggr,value ,Times [min],x [km],y [km],z [km],Experiment
W,mean W<0,-0.014999999664723873,65,120,30,12.0,027
Reflectivity,P90,-30.0,0,0,0,0.0,027
Reflectivity,mean r>0,21.78700065612793,75,80,78,7.0,027
Reflectivity,max r>0,56.28300094604492,30,76,76,4.0,027
Precipitation,P90,0.0,0,0,0,,027
Precipitation,mean r>0,0.36399999260902405,35,72,76,,027
Precipitation,max r>0,40.347999572753906,95,74,76,,027
W,P90,0.068,135,124,96,1.0,028
W,P10,-0.07,85,142,72,4.0,028
W,mean W>0,0.07900000363588333,45,24,92,14.0,028
W,mean W<0,-0.057999998331069946,165,12,92,8.0,028
Reflectivity,P90,-30.0,0,0,0,0.0,028
Reflectivity,mean r>0,27.204999923706055,55,84,82,6.0,028
Reflectivity,max r>0,61.33399963378906,30,76,76,5.0,028
Precipitation,P90,0.0,155,68,36,,028
Precipitation,mean r>0,0.9729999899864197,205,60,88,,028
Precipitation,max r>0,95.30999755859375,240,74,76,,028
W,P90,0.081,215,54,114,6.0,029
W,P10,-0.085,105,130,94,12.0,029
W,mean W>0,0.12300000339746475,150,116,56,1.0,029
W,mean W<0,-0.07599999755620956,240,20,78,11.0,029
Reflectivity,P90,-30.0,0,0,0,0.0,029
Reflectivity,mean r>0,26.652999877929688,200,112,84,8.0,029
Reflectivity,max r>0,59.76499938964844,30,74,76,5.0,029
Precipitation,P90,0.0,215,66,102,,029
Precipitation,mean r>0,1.3569999933242798,150,92,58,,029
Precipitation,max r>0,104.26899719238281,240,74,76,,029
W,P90,0.228,100,120,8,8.0,030
W,P10,-0.235,200,70,22,4.0,030
W,mean W>0,0.2770000100135803,175,114,110,9.0,030
W,mean W<0,-0.17499999701976776,50,26,42,16.0,030
Reflectivity,P90,-7.034,60,98,46,8.0,030
Reflectivity,mean r>0,24.59600067138672,165,38,126,7.0,030
Reflectivity,max r>0,61.470001220703125,150,154,138,3.0,030
Precipitation,P90,4.437,195,150,146,,030
Precipitation,mean r>0,2.365000009536743,150,108,108,,030
Precipitation,max r>0,107.1760025024414,230,50,60,,030
W,P90,0.234,115,68,106,11.0,031
W,P10,-0.243,125,14,70,7.0,031
W,mean W>0,0.2840000092983246,155,52,8,4.0,031
W,mean W<0,-0.18000000715255737,65,74,40,4.0,031
Reflectivity,P90,-3.63,235,80,30,5.0,031
Reflectivity,mean r>0,24.25,135,144,92,1.0,031
Reflectivity,max r>0,61.4630012512207,55,76,86,4.0,031
Precipitation,P90,3.714,125,96,64,,031
Precipitation,mean r>0,2.50600004196167,190,48,108,,031
Precipitation,max r>0,98.89199829101562,220,52,56,,031
W,P90,0.234,220,4,26,0.0,032
W,P10,-0.235,205,28,32,9.0,032
W,mean W>0,0.3160000145435333,40,80,56,8.0,032
W,mean W<0,-0.18400000035762787,125,124,124,5.0,032
Reflectivity,P90,0.576,150,126,50,6.0,032
Reflectivity,mean r>0,25.43600082397461,50,78,68,10.0,032
Reflectivity,max r>0,61.56399917602539,135,98,100,4.0,032
Precipitation,P90,6.971,100,2,144,,032
Precipitation,mean r>0,2.7239999771118164,205,64,88,,032
Precipitation,max r>0,87.64399719238281,240,50,110,,032
W,P90,0.251,230,122,60,8.0,033
W,P10,-0.261,110,66,58,14.0,033
W,mean W>0,0.3400000035762787,20,78,68,1.0,033
W,mean W<0,-0.18700000643730164,180,60,70,18.0,033
Reflectivity,P90,7.16,150,48,88,7.0,033
Reflectivity,mean r>0,25.415000915527344,155,18,74,0.0,033
Reflectivity,max r>0,61.39799880981445,25,74,80,3.0,033
Precipitation,P90,6.168,215,56,138,,033
Precipitation,mean r>0,2.8489999771118164,205,70,46,,033
Precipitation,max r>0,114.43199920654297,240,104,84,,033
W,P90,0.296,95,4,108,7.0,034
W,P10,-0.308,125,126,90,1.0,034
W,mean W>0,0.3319999873638153,225,116,142,9.0,034
W,mean W<0,-0.21799999475479126,105,102,52,18.0,034
Reflectivity,P90,13.934,125,100,0,0.0,034
Reflectivity,mean r>0,22.760000228881836,90,112,44,5.0,034
Reflectivity,max r>0,63.43199920654297,190,134,132,3.0,034
Precipitation,P90,10.064,200,22,140,,034
Precipitation,mean r>0,3.2920000553131104,200,14,38,,034
Precipitation,max r>0,98.41200256347656,240,130,132,,034
W,P90,0.247,60,56,82,3.0,035
W,P10,-0.238,145,106,120,8.0,035
W,mean W>0,0.43299999833106995,120,84,48,8.0,035
W,mean W<0,-0.19200000166893005,205,34,24,17.0,035
Reflectivity,P90,9.069,190,118,112,0.0,035
Reflectivity,mean r>0,28.177000045776367,80,92,90,10.0,035
Reflectivity,max r>0,61.3129997253418,55,76,86,5.0,035
Precipitation,P90,6.195,185,90,38,,035
Precipitation,mean r>0,3.265000104904175,125,52,70,,035
Precipitation,max r>0,102.60199737548828,240,58,100,,035
W,P90,0.308,145,84,134,2.0,036
W,P10,-0.301,175,124,106,17.0,036
W,mean W>0,0.3799999952316284,125,104,36,11.0,036
W,mean W<0,-0.21699999272823334,140,112,0,3.0,036
Reflectivity,P90,18.746,225,152,152,3.0,036
Reflectivity,mean r>0,24.360000610351562,210,46,102,8.0,036
Reflectivity,max r>0,61.62900161743164,50,76,86,5.0,036
Precipitation,P90,12.008,230,2,42,,036
Precipitation,mean r>0,3.490999937057495,165,98,152,,036
Precipitation,max r>0,84.3489990234375,240,8,84,,036
W,P90,0.499,155,62,140,11.0,037
W,P10,-0.647,65,14,120,6.0,037
W,mean W>0,0.5090000033378601,50,98,34,18.0,037
