Experiment,Total Sum,Max Value,Ratio,Mean,Cluster
481,195599.75,59.561,0.00030450447,36.15522,2
482,214347.34,58.828785,0.0002744554,37.17436,2
483,205642.39,59.32135,0.0002884685,36.14737,2
484,305413.38,59.60239,0.00019515317,48.936607,3
485,308254.56,60.077797,0.0001948967,49.391853,3
486,213706.22,60.134853,0.0002813903,38.374252,2
487,220055.19,61.172424,0.00027798675,38.640068,2
488,197308.86,60.36422,0.00030593772,37.62564,2
489,228996.84,61.28591,0.00026762777,40.181934,2
490,9025.84,55.750473,0.0061767627,20.941624,1
491,8497.708,54.47095,0.006410076,20.726116,1
492,302226.62,60.65554,0.00020069556,48.425995,3
493,306182.8,59.496067,0.00019431551,49.059895,3
494,301669.75,61.72218,0.00020460182,48.336765,3
495,303247.94,59.348938,0.00019571093,48.589638,3
496,60363.605,60.36266,0.0009999843,34.06524,1
497,107718.875,59.389458,0.00055133755,28.679146,0
498,2001.9219,50.984695,0.025467874,21.072863,1
499,2044.5225,50.955566,0.024922967,21.07755,1
500,1936.1475,50.851654,0.026264349,23.049374,1
501,2186.0388,49.87841,0.0228168,19.87308,1
502,234696.12,59.60989,0.00025398753,40.03687,2
503,241658.12,59.76965,0.00024733142,40.363808,2
504,6983.9414,58.684395,0.008402762,24.082556,1
505,6748.1567,58.605534,0.008684672,23.845078,1
506,4290.9883,59.599384,0.013889431,25.69454,1
507,6744.442,58.61321,0.008690595,23.83195,1
508,8631.402,58.852726,0.006818443,23.583067,1
509,5343.297,60.307976,0.01128666,26.451965,1
510,286952.3,61.088417,0.000212887,45.97858,3
511,299193.7,60.86557,0.000203432,47.940025,3
512,295964.44,60.39423,0.00020405908,47.4226,3
513,275744.25,61.17541,0.00022185562,44.182705,3
514,279965.8,61.13168,0.0002183541,44.859127,3
515,294763.62,63.34013,0.00021488448,47.23019,3
516,4907.504,60.504204,0.012328916,26.527048,1
517,4876.7334,60.426777,0.012390831,26.795238,1
518,7717.709,59.285076,0.007681694,23.5296,1
519,4917.66,60.50382,0.012303376,26.581947,1
520,303493.25,59.184475,0.00019501084,48.628944,3
521,286746.3,59.718678,0.00020826311,45.94557,3
522,288220.3,60.615757,0.00021031049,46.56977,3
523,285676.75,60.70877,0.00021250862,46.16625,3
524,273108.2,60.18898,0.00022038512,44.04971,3
525,285536.4,61.943672,0.00021693791,45.861935,3
526,903.8575,47.2021,0.052222945,18.446072,1
527,1213.3792,47.17836,0.038881797,17.843811,1
528,292747.28,60.583984,0.00020694977,46.907112,3
529,306662.3,60.01779,0.00019571297,49.136726,3
530,292615.5,59.599922,0.00020367999,46.885994,3
531,304651.66,60.285755,0.00019788422,48.814556,3
532,7491.7573,60.459534,0.00807014,28.48577,1
533,8847.703,60.31458,0.006816976,27.223701,1
534,5759.955,57.078304,0.009909505,21.412472,1
535,5056.4453,55.323265,0.010941138,23.51835,1
536,6560.907,56.47551,0.008607881,21.301647,1
